lat,lon,order
44.991200000000006,-122.99887000000001,170
44.99195,-122.99939,171
44.99302,-122.99993,172
44.994310000000006,-123.00034000000001,173
44.99519,-123.00046,174
44.99691000000001,-123.00040000000001,175
44.99797,-123.00015,176
44.99907,-122.99971000000001,177
45.001940000000005,-122.99817000000002,178
45.011250000000004,-122.99315000000001,179
45.055460000000004,-122.96934000000002,180
45.06795,-122.96259,181
45.07173,-122.96052000000002,182
45.07303,-122.95961000000001,183
45.073710000000005,-122.95905,184
45.07768,-122.95506,185
45.08249000000001,-122.95018,186
45.100480000000005,-122.93188,187
45.15106,-122.88043,188
45.17067,-122.86043000000001,189
45.191900000000004,-122.83885000000001,190
45.19393,-122.83699000000001,191
45.1963,-122.83505000000001,192
45.20098,-122.83168,193
45.206590000000006,-122.82776000000001,194
